CCSDS_OEM_VERS = 2.0
COMMENT Orion Prime updated 2026:04:07 17:30:05 UTC
CREATION_DATE = 2026-04-07T12:47:44
ORIGINATOR = NASA/JSC/FOD/FDO
 
META_START
OBJECT_NAME = EM2
OBJECT_ID = 24
CENTER_NAME = EARTH
REF_FRAME = EME2000
TIME_SYSTEM = UTC
START_TIME = 2026-04-06T17:34:51.667
USEABLE_START_TIME = 2026-04-06T17:34:51.667
USEABLE_STOP_TIME = 2026-04-10T23:53:21.581
STOP_TIME = 2026-04-10T23:53:21.581
META_STOP
 
 
COMMENT 
 
2026-04-09T06:07:32.390 -69683.590033589178 -234029.119813686120 -140330.319611772517 0.47973326216807 0.82630649577374 0.41098760439950
2026-04-09T06:11:32.390 -69568.415705080959 -233830.687845226144 -140231.611027568666 0.48005284401954 0.82729353947171 0.41158412197045
2026-04-09T06:15:32.390 -69453.164651487838 -233632.018771409203 -140132.759141213901 0.48037263802057 0.82828237480197 0.41218178970247
2026-04-09T06:19:32.390 -69337.836821789489 -233433.112161483557 -140033.763676155970 0.48069264504162 0.82927300810378 0.41278061187936
2026-04-09T06:23:32.390 -69222.432164756581 -233233.967583171820 -139934.624354811676 0.48101286595379 0.83026544575138 0.41338059280873
2026-04-09T06:27:32.390 -69106.950628950639 -233034.584602662566 -139835.340898561117 0.48133330162886 0.83125969415427 0.41398173682222
2026-04-09T06:31:32.390 -68991.392162723903 -232834.962784601841 -139735.913027741888 0.48165395293923 0.83225575975740 0.41458404827560
2026-04-09T06:35:32.390 -68875.756714219140 -232635.101692084630 -139636.340461643296 0.48197482075799 0.83325364904143 0.41518753154900
2026-04-09T06:39:32.390 -68760.044231369495 -232435.000886646245 -139536.622918500478 0.48229590595891 0.83425336852297 0.41579219104703
2026-04-09T06:43:32.390 -68644.254661898332 -232234.659928253677 -139436.760115488491 0.48261720941644 0.83525492475483 0.41639803119901
2026-04-09T06:47:32.390 -68528.387953319063 -232034.078375296871 -139336.751768716378 0.48293873200568 0.83625832432622 0.41700505645907
2026-04-09T06:51:32.390 -68412.444052934996 -231833.255784579960 -139236.597593221231 0.48326047460249 0.83726357386309 0.41761327130639
2026-04-09T06:55:32.390 -68296.422907839151 -231632.191711312422 -139136.297302962048 0.48358243808337 0.83827068002826 0.41822268024533
2026-04-09T06:59:32.390 -68180.324464914083 -231430.885709100228 -139035.850610813824 0.48390462332556 0.83927964952176 0.41883328780565
2026-04-09T07:03:32.390 -68064.148670831739 -231229.337329936825 -138935.257228561270 0.48422703120700 0.84029048908108 0.41944509854265
2026-04-09T07:07:32.390 -67947.895472053278 -231027.546124194138 -138834.516866892780 0.48454966260637 0.84130320548135 0.42005811703738
2026-04-09T07:11:32.390 -67831.564814828889 -230825.511640613549 -138733.629235394212 0.48487251840304 0.84231780553570 0.42067234789681
2026-04-09T07:15:32.390 -67715.156645197625 -230623.233426296676 -138632.594042542565 0.48519559947716 0.84333429609542 0.42128779575400
2026-04-09T07:19:32.390 -67598.670908987202 -230420.711026696226 -138531.410995699785 0.48551890670956 0.84435268405033 0.42190446526833
2026-04-09T07:23:32.390 -67482.107551813853 -230217.943985606718 -138430.079801106389 0.48584244098186 0.84537297632893 0.42252236112563
2026-04-09T07:27:32.390 -67365.466519082140 -230014.931845155137 -138328.600163875119 0.48616620317641 0.84639517989877 0.42314148803843
2026-04-09T07:31:32.390 -67248.747755984761 -229811.674145791563 -138226.971787984425 0.48649019417632 0.84741930176666 0.42376185074609
2026-04-09T07:35:32.390 -67131.951207502381 -229608.170426279685 -138125.194376272149 0.48681441486544 0.84844534897894 0.42438345401506
2026-04-09T07:39:32.390 -67015.076818403453 -229404.420223687310 -138023.267630428862 0.48713886612841 0.84947332862179 0.42500630263900
2026-04-09T07:43:32.390 -66898.124533244016 -229200.423073376762 -137921.191250991396 0.48746354885063 0.85050324782150 0.42563040143904
2026-04-09T07:47:32.390 -66781.094296367519 -228996.178508995217 -137818.964937336190 0.48778846391827 0.85153511374472 0.42625575526394
2026-04-09T07:51:32.390 -66663.986051904649 -228791.686062464956 -137716.588387672644 0.48811361221828 0.85256893359877 0.42688236899032
2026-04-09T07:55:32.390 -66546.799743773125 -228586.945263973612 -137614.061299036402 0.48843899463840 0.85360471463191 0.42751024752283
2026-04-09T07:59:32.390 -66429.535315677524 -228381.955641964276 -137511.383367282629 0.48876461206716 0.85464246413363 0.42813939579437
2026-04-09T08:03:32.390 -66312.192711109063 -228176.716723125603 -137408.554287079140 0.48909046539386 0.85568218943496 0.42876981876630
2026-04-09T08:07:32.390 -66194.771873345439 -227971.228032381798 -137305.573751899647 0.48941655550862 0.85672389790873 0.42940152142864
2026-04-09T08:11:32.390 -66077.272745450609 -227765.489092882519 -137202.441454016749 0.48974288330236 0.85776759696990 0.43003450880028
2026-04-09T08:15:32.390 -65959.695270274649 -227559.499425992777 -137099.157084495033 0.49006944966679 0.85881329407581 0.43066878592920
2026-04-09T08:19:32.390 -65842.039390453501 -227353.258551282663 -136995.720333184057 0.49039625549444 0.85986099672654 0.43130435789267
